,"iShares 7-10 Year
Treasury Bond",Vanguard Real Estate,"iShares MSCI
Emerging Markets","iShares Russell
1000 Growth","iShares Russell
2000 Value","iShares 20+ Year
Treasury Bond","iShares Russell
2000 Growth","iShares Russell
1000 Value","iShares
MSCI EAFE",SPDR Gold Trust,PowerShares DB Commodities
,NASDAQ:IEF,NYSEARCA:VNQ,NYSEARCA:EEM,NYSEARCA:IWF,NYSEARCA:IWN,NASDAQ:TLT,NYSEARCA:IWO,NYSEARCA:IWD,NYSEARCA:EFA,NYSEARCA:GLD,NYSEARCA:DBC
0,114.23,98.73,53.81,252.55,165.15,137.78,289.24,162.3,80.13,172.08,18.61
1,113.54,53.23,53.23,256.94,160.64,137.45,300.7,154.95,77.56,162.28,16.79
2,114.71,90.11,54.97,242.33,167.19,139.01,316.87,151.01,76.09,161.52,17.5
3,117.97,88.9,56.94,252.8,152.07,148.79,336.63,143.52,75.64,172.08,16.18
4,118.01,81.97,53.97,241.26,139.96,151.07,302.66,140.88,74.74,173,15.13
5,120.15,84.39,50.72,232.47,129.45,158.77,274.65,135.35,72.18,172.49,14.24
6,119.46,84.26,48.02,226.12,117.16,155.72,250.03,129.21,69.33,174.9,13.52
7,121.14,83.41,46.23,229.19,109.33,160.6,241.03,124.25,66.06,180.56,13.2
8,121.9,82.21,44.64,215.06,103.73,164.47,221.75,121.3,65.15,183.89,12.91
9,121.37,81.14,44.32,212.49,107.24,163.82,226.49,121.38,65.2,183.33,13.24
10,122.01,77.84,43.01,200.56,95.25,167.12,207.82,114.88,62.84,170.19,12.59
11,121.29,81.77,39.28,186.29,97.4,162.39,201.64,114.47,60.69,162.33,12.12
12,121.95,68.8,36.03,175.14,83.53,166.71,183.36,104.99,55.16,163.93,11.2
13,121.94,74.63,35.28,164.55,83.19,168.18,165.06,105.2,54.27,161.85,11.42
14,120.45,65.39,31.63,138.06,77.41,163.91,140.3,93.84,47.45,141.64,11.38
15,113.48,99.45,43.91,190.97,125.58,145.54,223.74,137.8,68.76,150.91,14.76
16,111.39,94.63,45.97,183.86,129.5,139.21,222.59,138.21,70.17,146.31,15.72
17,110.65,90.14,44.26,173.22,127.94,137.6,212.56,135.33,69.22,139.01,16.05
18,111.37,93.09,43.06,169.39,123.97,138.01,203.6,133.52,68.4,138.62,15.42
19,111.95,94.53,41.98,161.08,120.36,139.58,194.66,127.99,66.27,140.46,15.25
20,111.31,93.12,41.74,162.22,122.23,139.62,201.17,130.05,65.49,140.71,15.38
21,113.07,91.84,39.7,159.76,115.23,144.04,196.44,124.69,62.63,141.11,14.9
22,109.67,87.35,42.87,161.91,118.23,131.94,200.56,128.21,65.58,134.45,15.51
23,109.99,91.52,42.91,159.39,120.17,132.89,201.68,127.2,65.65,131.11,15.66
24,106.43,87.33,40.63,153.6,120.8,125.53,197.07,124.9,64.94,120.36,15.98
25,105.17,84.55,44.27,156.12,122.18,122.31,198.03,126.07,66.56,120.37,16.29
26,106.34,86.22,42.43,149.38,116.98,124.86,192.2,121.99,64.31,123.97,15.94
27,104.6,84.54,42.66,146.99,125.5,121.94,198.74,123.63,64.04,126.48,16
28,103.79,79.19,40.83,137.75,116.26,120.37,181.89,116.97,61.12,121.45,15.45
